ID	chr	strand	start	stop	gene	region	Binding site coverage (RPM)
255	4	+	449284	449302	YDL001W	3'UTR	2593.128
256	4	+	453717	453736	YDR002W	3'UTR	19287.153
257	4	+	453750	453771	YDR002W	3'UTR	4277.970
258	4	+	472702	472737	YDR012W	CDS	143.932
260	4	+	490940	490963	YDR023W	3'UTR	2795.753
261	4	+	503928	503950	YDR031W	3'UTR	16210.836
263	4	+	508772	508797	YDR033W	CDS	5032.147
264	4	+	509189	509207	YDR033W	3'UTR	3063.272
265	4	+	509324	509346	YDR033W	3'UTR	8602.085
266	4	+	509495	509513	YDR033W	3'UTR	2427.383
268	4	+	540466	540485	YDR041W	3'UTR	16224.792
269	4	+	540548	540568	YDR041W	3'UTR	1444.218
270	4	+	552992	553020	YDR047W	3'UTR	6456.006
271	4	+	564839	564857	YDR055W	CDS	1864.565
272	4	+	576949	576971	YDR062W	CDS	4898.763
275	4	+	580464	580486	YDR064W	3'UTR	6725.500
277	4	+	592898	592923	YDR073W	CDS	3789.453
278	4	+	600933	600950	YDR077W	CDS	2109.170
279	4	+	602073	602123	YDR077W	3'UTR	17625.233
280	4	+	603452	603472	YDR079W	3'UTR	11284.077
283	4	+	632050	632072	YDR093W	CDS	3506.874
284	4	+	632912	632936	YDR093W	CDS	8464.155
288	4	+	682219	682243	YDR115W	CDS	2112.630
289	4	+	695292	695318	YDR122W	CDS	5829.224
290	4	+	704986	705003	YDR127W	CDS	7917.315
291	4	+	705342	705359	YDR127W	CDS	1429.501
293	4	+	762782	762803	YDR150W	CDS	3354.388
295	4	+	773664	773683	YDR159W	CDS	2569.690
298	4	+	840430	840454	YDR189W	3'UTR	13.630
300	4	+	893962	893984	YDR214W	3'UTR	4175.655
301	4	+	911343	911369	YDR222W	3'UTR	9.812
302	4	+	915971	915994	YDR225W	3'UTR	4736.645
303	4	+	916015	916044	YDR225W	3'UTR	41622.356
304	4	+	917204	917222	YDR226W	3'UTR	48.340
305	4	+	924908	924929	YDR229W	CDS	6812.747
306	4	+	927410	927429	YDR232W	5'UTR	2653.280
307	4	+	929213	929232	YDR232W	3'UTR	2649.640
308	4	+	937572	937590	YDR237W	3'UTR	35636.831
309	4	+	961414	961435	YDR251W	CDS	4146.036
315	4	+	1055320	1055348	YDR296W	CDS	5633.847
316	4	+	1068396	1068428	YDR302W	3'UTR	29188.088
317	4	+	1093857	1093883	YDR316W	CDS	4602.533
318	4	+	1111716	1111735	YDR322W	3'UTR	9331.177
319	4	+	1132931	1132952	YDR332W	CDS	4699.578
320	4	+	1137653	1137670	YDR334W	CDS	1488.382
322	4	+	1170189	1170207	YDR347W	3'UTR	40571.945
323	4	+	1190317	1190345	YDR358W	CDS	5038.327
324	4	+	1228312	1228336	YDR376W	3'UTR	3784.550
325	4	+	1229210	1229238	YDR377W	3'UTR	5976.419
326	4	+	1231589	1231613	YDR379W	CDS	4361.558
327	4	+	1234112	1234129	YDR380W	5'UTR	1638.855
329	4	+	1235609	1235626	YDR380W	CDS	667.318
330	4	+	1239467	1239488	YDR382W	5'UTR	3630.264
332	4	+	1239852	1239871	YDR382W	3'UTR	3874.522
334	4	+	1250658	1250679	YDR388W	CDS	3962.121
335	4	+	1251656	1251674	YDR388W	3'UTR	1515.822
337	4	+	1278496	1278518	YDR405W	3'UTR	3327.143
339	4	+	1360867	1360889	YDR450W	3'UTR	4468.233
341	4	+	1369410	1369433	YDR456W	3'UTR	12712.297
342	4	+	1369706	1369728	YDR457W	5'UTR	4263.413
344	4	+	1385399	1385422	YDR461W	3'UTR	22977.439
345	4	+	1402636	1402654	YDR471W	3'UTR	8770.375
347	4	+	1403016	1403041	snR13	snoRNA	3652.454
349	4	+	1436619	1436643	YDR493W	3'UTR	20323.586
351	4	+	1438040	1438058	YDR494W	3'UTR	17879.840
352	4	+	1470449	1470467	YDR511W	3'UTR	1930.174
353	4	+	1481002	1481028	YDR519W	3'UTR	5181.524
355	4	-	67919	67941	YDL217C	3'UTR	11116.500
356	4	-	92932	92952	YDL205C	CDS	3675.166
361	4	-	130831	130860	YDL183C	3'UTR	6002.577
362	4	-	163396	163429	YDL166C	3'UTR	11060.176
364	4	-	174184	174202	YDL157C	3'UTR	2344.518
367	4	-	210563	210593	YDL140C	5'UTR	5954.790
368	4	-	221566	221588	YDL133C-A	3'UTR	7084.092
370	4	-	264380	264397	YDL110C	3'UTR	1373.890
371	4	-	264419	264437	YDL110C	3'UTR	2427.396
372	4	-	275061	275087	YDL103C	3'UTR	5922.453
374	4	-	285371	285388	YDL097C	3'UTR	1733.720
375	4	-	296277	296294	YDL090C	CDS	1259.401
379	4	-	309732	309762	YDL081C	3'UTR	14794.031
382	4	-	334035	334067	YDL067C	3'UTR	389.816
383	4	-	336466	336483	YDL065C	CDS	1864.570
384	4	-	338295	338313	YDL063C	CDS	2023.403
386	4	-	340543	340567	YDL061C	3'UTR	3130.325
387	4	-	355627	355647	YDL055C	3'UTR	2343.245
388	4	-	356763	356795	YDL055C	5'UTR	8078.139
390	4	-	362364	362392	YDL053C	5'UTR	6380.062
391	4	-	363513	363543	YDL052C	CDS	1797.144
392	4	-	378815	378835	YDL040C	3'UTR	2640.385
393	4	-	404513	404540	YDL027C	CDS	6360.600
394	4	-	405285	405302	YDL025C	3'UTR	1409.873
395	4	-	433030	433049	YDL009C	CDS	2497.000
396	4	-	459482	459500	YDR006C	CDS	2178.781
397	4	-	460458	460482	YDR006C	CDS	5156.635
398	4	-	485344	485361	YDR019C	CDS	4356.098
399	4	-	485597	485630	YDR020C	3'UTR	6.178
400	4	-	498181	498206	YDR028C	CDS	13329.293
402	4	-	541628	541665	snR47	snoRNA	8846.316
410	4	-	588026	588046	YDR070C	3'UTR	2461.559
411	4	-	589995	590019	YDR072C	CDS	9009.360
412	4	-	615540	615560	YDR085C	CDS	3156.126
415	4	-	662462	662493	YDR104C	CDS	69.786
417	4	-	682667	682687	YDR116C	3'UTR	3408.004
418	4	-	701908	701926	YDR125C	CDS	1346.631
420	4	-	720892	720916	YDR133C	3'UTR	3593.743
422	4	-	749782	749803	YDR146C	CDS	4281.952
427	4	-	793317	793342	YDR169C	CDS	5726.729
430	4	-	813148	813165	YDR175C	3'UTR	5480.475
432	4	-	830444	830461	YDR183C-A	CDS	1066.401
433	4	-	835290	835329	YDR186C	CDS	7356.484
434	4	-	845832	845852	YDR194C	3'UTR	3171.395
435	4	-	845973	845996	YDR194C	CDS	3515.410
436	4	-	846580	846598	YDR194C	CDS	2182.239
437	4	-	846702	846722	YDR194C	CDS	2034.121
441	4	-	926194	926214	YDR231C	3'UTR	3182.844
443	4	-	929853	929872	YDR233C	CDS	2417.034
445	4	-	969963	969981	YDR257C	3'UTR	1750.620
446	4	-	971730	971748	YDR258C	3'UTR	24.170
447	4	-	1000332	1000355	YDR266C	CDS	4056.247
448	4	-	1035185	1035206	YDR286C	3'UTR	35118.172
449	4	-	1045363	1045400	YDR293C	3'UTR	14219.068
453	4	-	1134160	1134187	YDR333C	CDS	4391.363
456	4	-	1162847	1162867	YDR345C	3'UTR	14967.245
459	4	-	1225116	1225134	YDR374C	5'UTR	4631.784
460	4	-	1233225	1233244	YDR379C-A	3'UTR	2031.760
462	4	-	1257882	1257899	YDR391C	CDS	1848.204
463	4	-	1284036	1284057	YDR407C	3'UTR	4158.024
464	4	-	1287394	1287416	YDR407C	CDS	3807.827
465	4	-	1324415	1324433	YDR429C	3'UTR	16911.927
466	4	-	1325475	1325499	YDR430C	3'UTR	22182.156
467	4	-	1327188	1327208	YDR430C	CDS	862.497
469	4	-	1354773	1354790	YDR447C	3'UTR	1779.516
470	4	-	1360989	1361006	YDR451C	3'UTR	1936.537
472	4	-	1399549	1399577	YDR470C	3'UTR	12192.384
473	4	-	1399596	1399615	YDR470C	3'UTR	3954.114
474	4	-	1404390	1404410	YDR473C	3'UTR	3400.370
475	4	-	1416879	1416896	YDR479C	5'UTR	2508.989
476	4	-	1428286	1428308	YDR487C	3'UTR	4359.567
481	4	-	1460168	1460185	YDR506C	CDS	1445.857
482	4	-	1466268	1466299	YDR508C	3'UTR	9450.048
486	4	-	1492853	1492873	snR84	snoRNA	3610.280
487	4	-	1496044	1496073	YDR529C	3'UTR	5819.951
489	5	+	29248	29280	YEL065W	CDS	7058.634
491	5	+	73244	73265	YEL043W	CDS	3190.471
492	5	+	78710	78739	YEL040W	CDS	1444.764
493	5	+	79246	79272	YEL040W	CDS	4032.980
494	5	+	85654	85673	YEL034W	5'UTR	3.634
497	5	+	86293	86317	YEL033W	CDS	14134.168
499	5	+	107202	107233	YEL024W	5'UTR	7920.582
500	5	+	141735	141763	YEL007W	5'UTR	3077.811
501	5	+	154165	154194	YER001W	CDS	7463.712
505	5	+	213967	213987	YER030W	3'UTR	17070.965
506	5	+	232110	232131	YER040W	3'UTR	759.638
508	5	+	251247	251269	YER048W-A	3'UTR	1935.259
509	5	+	272137	272167	YER058W	3'UTR	20863.521
510	5	+	301679	301697	YER070W	3'UTR	2161.510
512	5	+	303141	303160	YER072W	CDS	3838.174
515	5	+	307241	307259	YER074W	3'UTR	10859.378
516	5	+	363227	363261	YER102W	CDS	57.246
517	5	+	366561	366587	YER103W	3'UTR	4882.213
518	5	+	424337	424353	YER131W	3'UTR	1103.838
519	5	+	439787	439806	YER136W	CDS	3631.000
521	5	+	442202	442220	SCR1	ncRNA	1308.650
527	5	+	517500	517529	YER166W	3'UTR	2994.028
529	5	+	526941	526962	YER170W	3'UTR	9046.610
531	5	+	546513	546529	YER177W	3'UTR	4009.361
532	5	+	553267	553292	YER182W	3'UTR	4635.254
533	5	+	553307	553329	YER182W	3'UTR	16754.024
534	5	-	33474	33502	YEL063C	5'UTR	1264.852
536	5	-	122632	122653	YEL017C-A	3'UTR	8841.608
538	5	-	139813	139833	YEL009C	5'UTR	2369.963
539	5	-	189544	189563	YER017C	CDS	2744.140
540	5	-	191866	191895	YER018C	3'UTR	17429.865
541	5	-	207551	207571	YER026C	3'UTR	9956.175
542	5	-	207582	207606	YER026C	3'UTR	42507.551
545	5	-	214698	214715	YER031C	CDS	1743.532
547	5	-	235723	235743	YER043C	3'UTR	3398.561
548	5	-	236546	236565	YER043C	CDS	1482.930
549	5	-	237526	237550	YER044C	3'UTR	3233.914
550	5	-	246937	246954	YER048C	3'UTR	1337.908
551	5	-	253887	253905	YER050C	3'UTR	4285.045
554	5	-	263161	263178	YER054C	CDS	3909.040
555	5	-	266972	266998	YER056C	CDS	6251.213
556	5	-	267024	267052	YER056C	CDS	2777.405
560	5	-	313841	313871	YER076C	5'UTR	8168.835
563	5	-	342179	342205	YER091C	5'UTR	5456.314
564	5	-	347875	347897	YER093C-A	3'UTR	9078.215
566	5	-	403772	403794	YER122C	CDS	9621.963
567	5	-	431173	431191	snR52	snoRNA	1978.521
568	5	-	470254	470271	YER151C	CDS	310.761
572	6	+	42586	42604	YFL047W	3'UTR	4333.037
574	6	+	57858	57877	YFL037W	3'UTR	3311.142
576	6	+	59595	59612	YFL036W	CDS	2728.152
577	6	+	62868	62885	YFL036W	3'UTR	1400.060
578	6	+	82651	82669	YFL026W	CDS	3.452
579	6	+	82865	82887	YFL026W	CDS	4919.649
580	6	+	83960	83979	YFL026W	3'UTR	2108.080
581	6	+	83996	84028	YFL026W	3'UTR	14740.994
582	6	+	97550	97574	YFL021W	3'UTR	5524.648
583	6	+	107637	107658	YFL014W	3'UTR	8739.826
584	6	+	160372	160390	YFR007W	3'UTR	9561.093
585	6	+	193493	193523	YFR020W	3'UTR	850.687
587	6	+	234265	234291	YFR040W	CDS	3297.340
588	6	+	243010	243035	YFR045W	3'UTR	3987.916
592	6	-	55275	55295	YFL038C	3'UTR	3335.508
593	6	-	64209	64230	YFL034C-A	3'UTR	13071.761
594	6	-	80487	80512	YFL027C	CDS	4054.060
595	6	-	209357	209380	YFR028C	CDS	4631.966
597	6	-	224286	224310	YFR033C	3'UTR	4897.660
600	6	-	253530	253561	YFR052C-A	CDS	15870.262
601	6	-	253773	253790	YFR053C	CDS	1472.026
604	7	+	22139	22159	YGL255W	3'UTR	3694.230
606	7	+	32345	32367	YGL250W	CDS	4865.328
609	7	+	69433	69451	YGL228W	3'UTR	2437.757
610	7	+	77980	78003	YGL225W	3'UTR	4379.009
614	7	+	219768	219790	YGL151W	CDS	4848.593
616	7	+	252801	252819	YGL137W	3'UTR	2285.814
621	7	+	278439	278463	YGL123W	3'UTR	44622.926
622	7	+	285564	285582	YGL119W	CDS	583.539
623	7	+	308617	308634	YGL105W	3'UTR	3.271
624	7	+	311977	312003	YGL103W	3'UTR	4950.912
625	7	+	312908	312929	YGL101W	3'UTR	3766.211
626	7	+	314296	314316	YGL100W	3'UTR	2366.141
629	7	+	360150	360167	YGL079W	3'UTR	1095.842
630	7	+	373018	373038	YGL071W	CDS	2908.076
631	7	+	375741	375763	YGL068W	3'UTR	18100.652
632	7	+	377467	377493	YGL066W	5'UTR	6766.408
633	7	+	394685	394706	YGL058W	3'UTR	1935.078
634	7	+	406670	406692	YGL050W	3'UTR	16.719
635	7	+	418588	418606	YGL043W	3'UTR	2240.930
636	7	+	439686	439711	YGL030W	3'UTR	17315.388
639	7	+	514863	514883	YGR013W	CDS	3159.950
641	7	+	520947	520964	YGR014W	3'UTR	1334.637
642	7	+	523997	524030	YGR017W	CDS	10936.613
643	7	+	528538	528563	YGR021W	3'UTR	53572.098
644	7	+	543396	543416	YGR028W	3'UTR	5550.632
645	7	+	543999	544023	YGR029W	CDS	3184.835
647	7	+	556696	556723	YGR034W	3'UTR	5424.322
649	7	+	577649	577666	YGR041W	CDS	961.724
650	7	+	594807	594826	YGR052W	3'UTR	2489.730
651	7	+	601204	601228	YGR055W	3'UTR	2962.218
652	7	+	617820	617841	YGR064W	CDS	3738.225
653	7	+	644632	644652	YGR082W	3'UTR	21753.099
656	7	+	697359	697378	YGR103W	3'UTR	2504.260
657	7	+	705144	705166	YGR108W	3'UTR	4372.093
658	7	+	717067	717093	YGR111W	3'UTR	5181.538
659	7	+	718657	718679	YGR112W	3'UTR	11498.538
660	7	+	723346	723368	YGR116W	CDS	4238.350
662	7	+	724785	724806	YGR116W	3'UTR	3990.096
663	7	+	727801	727821	YGR118W	3'UTR	3682.785
664	7	+	740001	740025	YGR124W	CDS	4.543
665	7	+	741741	741759	YGR124W	3'UTR	2164.968
666	7	+	757541	757563	YGR133W	3'UTR	4493.312
667	7	+	757580	757614	YGR133W	3'UTR	13605.347
668	7	+	775665	775698	YGR143W	CDS	10800.671
669	7	+	777839	777858	YGR143W	3'UTR	1875.470
670	7	+	790380	790399	YGR149W	3'UTR	3027.654
672	7	+	810717	810747	YGR161W-C	3'UTR	6856.199
674	7	+	830224	830247	YGR165W	3'UTR	25995.431
676	7	+	896043	896061	YGR198W	CDS	987.529
677	7	+	905782	905801	YGR203W	3'UTR	2555.140
680	7	+	929246	929264	YGR217W	CDS	1888.737
681	7	+	934347	934368	YGR218W	CDS	3494.330
682	7	+	940769	940786	YGR222W	CDS	1557.076
684	7	+	954563	954580	YGR232W	CDS	3438.004
685	7	+	961117	961136	YGR234W	3'UTR	3158.490
686	7	+	986797	986818	YGR248W	3'UTR	4134.022
690	7	+	1002283	1002303	YGR254W	3'UTR	3720.948
691	7	+	1014149	1014168	YGR260W	3'UTR	4804.982
692	7	+	1053909	1053927	YGR281W	CDS	2240.934
693	7	+	1056031	1056048	YGR281W	CDS	1884.186
695	7	-	55595	55615	YGL236C	CDS	3369.857
696	7	-	149433	149467	YGL188C	CDS	10412.322
697	7	-	175578	175606	YGL173C	CDS	89.593
699	7	-	227661	227683	YGL147C	3'UTR	30502.921
700	7	-	234645	234670	YGL143C	3'UTR	4469.881
702	7	-	268825	268845	YGL129C	CDS	3465.250
703	7	-	304272	304292	YGL107C	3'UTR	5276.942
704	7	-	330981	331010	YGL094C	3'UTR	6520.533
708	7	-	364294	364313	YGL076C	3'UTR	2827.748
709	7	-	365162	365181	YGL076C	intron	3387.476
711	7	-	381485	381515	YGL064C	3'UTR	35271.337
712	7	-	394825	394852	YGL057C	3'UTR	5353.079
713	7	-	395948	395970	YGL056C	3'UTR	4484.943
714	7	-	396271	396294	YGL056C	CDS	5430.146
715	7	-	401205	401223	YGL054C	CDS	2075.193
716	7	-	407696	407727	YGL049C	CDS	3419.446
718	7	-	427214	427245	YGL037C	3'UTR	23686.157
720	7	-	437538	437571	YGL031C	CDS	2199.681
723	7	-	479426	479452	YGL008C	3'UTR	20386.255
724	7	-	479470	479495	YGL008C	3'UTR	8618.640
725	7	-	479631	479665	YGL008C	3'UTR	7308.340
728	7	-	480816	480837	YGL008C	CDS	1663.209
731	7	-	482629	482656	YGL008C	CDS	5.088
733	7	-	482798	482815	YGL008C	5'UTR	595.352
734	7	-	492342	492367	YGL003C	3'UTR	4.724
735	7	-	492423	492441	YGL003C	3'UTR	8010.534
736	7	-	496129	496155	YGL001C	CDS	6167.802
737	7	-	534097	534118	YGR027C	3'UTR	4078.067
738	7	-	534346	534374	YGR027C	CDS	5.269
739	7	-	559618	559648	YGR037C	3'UTR	9120.922
740	7	-	559654	559679	YGR037C	3'UTR	14828.394
743	7	-	617483	617500	YGR063C	3'UTR	997.706
744	7	-	637013	637033	YGR076C	3'UTR	20118.595
746	7	-	647080	647102	YGR084C	3'UTR	3966.651
747	7	-	649360	649394	YGR086C	3'UTR	7728.140
749	7	-	650667	650692	YGR086C	5'UTR	3888.695
750	7	-	755352	755372	YGR132C	3'UTR	3285.885
751	7	-	755474	755496	YGR132C	3'UTR	15242.364
752	7	-	755533	755551	YGR132C	3'UTR	7967.846
753	7	-	785996	786017	YGR147C	3'UTR	3346.400
754	7	-	787187	787211	YGR148C	3'UTR	5083.940
755	7	-	787383	787416	YGR148C	CDS	6.178
756	7	-	841674	841692	YGR171C	CDS	2244.394
757	7	-	850947	850969	YGR178C	3'UTR	4994.894
759	7	-	851959	851979	YGR178C	CDS	3686.600
760	7	-	858742	858766	YGR182C	CDS	31705.966
761	7	-	866291	866311	YGR185C	3'UTR	3106.530
762	7	-	882727	882789	YGR192C	3'UTR	42724.159
766	7	-	883182	883204	YGR192C	CDS	3757.673
772	7	-	887028	887046	YGR194C	CDS	1957.792
773	7	-	939492	939521	snR7-L	snRNA	5299.308
774	7	-	939585	939613	snR7-L	snRNA	5106.848
776	7	-	952470	952496	YGR231C	3'UTR	13697.284
777	7	-	956479	956501	YGR233C	CDS	4618.711
778	7	-	966644	966663	YGR238C	CDS	3089.444
779	7	-	970581	970600	YGR240C	3'UTR	2584.228
780	7	-	974746	974773	YGR240C-A	CDS	6213.049
781	7	-	978866	978885	YGR244C	CDS	2667.822
782	7	-	1002530	1002547	YGR255C	CDS	1458.941
783	7	-	1009742	1009759	YGR258C	CDS	1776.245
784	7	-	1016430	1016453	YGR261C	CDS	2464.284
786	7	-	1020941	1020960	YGR264C	CDS	3143.948
